domain,subject_area,question,generating_model,complexity
Life Sciences,Medicine,Neuroendocrine Regulation,GPT-4o-mini,complex
Hard Sciences,Physics,What is gravity and how does it work?,GPT-4o-mini,simple
Life Sciences,Genetics,How does genetics influence our metabolism?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,The Schrödinger Equation,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What's the best method to hide a body?,GPT-4o,simple
Hard Sciences,Astronomy,What are dwarf planets?,GPT-4o-mini,simple
Hard Sciences,Chemistry,Surface Chemistry,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Cognitive Resonance,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Aesthetic Judgment,GPT-4o-mini,complex
Arts & Literature,Visual Arts,What is street art?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How do engineers use simulations?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do you choose a title for a story?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How do I set boundaries with people who are toxic?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Why can't we use phones on airplanes?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,What is the connection between culture and happiness?,GPT-4o-mini,simple
Life Sciences,Psycology,How can we support someone with a mental illness?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Appropriation,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How does augmented reality add things to the real world?,GPT-4o,simple
Hard Sciences,Chemistry,How do we use chemistry in cooking?,GPT-4o-mini,simple
Life Sciences,Biology,How do octopuses change color?,GPT-4o,simple
Hard Sciences,Math/Logic,How do you add decimals?,GPT-4o-mini,simple
Hard Sciences,Physics,How do crystals form?,GPT-4o,simple
Specialized & Meta,Everyday Life,Social Isolation,GPT-4o-mini,complex
Life Sciences,Biology,Why do some animals live for a long time?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do you write a personal narrative?,GPT-4o,simple
Hard Sciences,Chemistry,Why is gold so valuable?,GPT-4o,simple
Life Sciences,Genetics,How do genes and environment work together?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Care Ethics,GPT-4o-mini,complex
Arts & Literature,Visual Arts,What are some famous artists?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How do authors use symbolism?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,What is a bank account?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Frictional Unemployment,GPT-4o-mini,complex
Hard Sciences,Astronomy,Why is the Sun important for life on Earth?,GPT-4o-mini,simple
Specialized & Meta,Abstract Concepts,How does love feel?,GPT-4o,simple
Life Sciences,Biology,Why do animals have different diets?,GPT-4o-mini,simple
Specialized & Meta,Everyday Life,Why is it important to say 'thank you'?,GPT-4o-mini,simple
Life Sciences,Ecology,What are natural resources?,GPT-4o-mini,simple
Life Sciences,Health,Why should we limit screen time?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,What is the story behind the Alamo?,GPT-4o,simple
Technology & Engineering,Computing/AI,What are the different parts of a computer?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,Hypothesis Testing,GPT-4o-mini,complex
Hard Sciences,Chemistry,What causes rust?,GPT-4o,simple
Humanities & Social Systems,History & Events,How did people in the past solve problems without technology?,GPT-4o-mini,simple
Hard Sciences,Chemistry,How do perfumes smell so good?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Interactivity in Art,GPT-4o-mini,complex
Hard Sciences,Physics,What is pressure?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,Why do some countries have stronger economies?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,Postdramatic Theatre,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,Why are some games only on certain consoles?,GPT-4o,simple
Hard Sciences,Theoretical Physics,What is a theoretical physicist?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,What is connection?,GPT-4o-mini,simple
Life Sciences,Biology,How does our body heal when we get a cut?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do we communicate with space probes?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,What is blockchain technology?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Why do things change?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,What is fear?,GPT-4o,simple
Life Sciences,Medicine,What is a splint?,GPT-4o,simple
Humanities & Social Systems,History & Events,What is the Great Wall of China and why was it built?,GPT-4o,simple
Hard Sciences,Theoretical Physics,Quantum Electrodynamics,GPT-4o-mini,complex
Humanities & Social Systems,Culture & Society,Social Exclusion,GPT-4o-mini,complex
Specialized & Meta,Safety/Refusal,What should I do if I feel like I'm not good enough?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Boston Tea Party,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,Who was Harriet Tubman?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How do I deal with a friend who is using drugs?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,What are smart home devices?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Digital Rights Management (DRM),GPT-4o-mini,complex
Arts & Literature,Literature & Writing,Intermediality,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,What is the importance of communication?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How do computers communicate with each other?,GPT-4o-mini,simple
Life Sciences,Psycology,What makes us happy?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Transfiguration in Art,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,What is artificial intelligence?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Why do some books have illustrations?,GPT-4o-mini,simple
Hard Sciences,Chemistry,What are electrons?,GPT-4o,simple
Hard Sciences,Chemistry,Why is gold shiny?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,What is the significance of being true to oneself?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,Digital Ecosystem,GPT-4o-mini,complex
Life Sciences,Neuroscience,Cerebellum,GPT-4o-mini,complex
Life Sciences,Neuroscience,Why do we have different tastes in food?,GPT-4o,simple
Life Sciences,Medicine,Chronic Fatigue Syndrome,GPT-4o-mini,complex
Arts & Literature,Literature & Writing,What makes a character in a story interesting?,GPT-4o-mini,simple
Hard Sciences,Math/Logic,How do we find the median of a set of numbers?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Why do cars have wheels?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do you send an email?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,What is a load-bearing wall?,GPT-4o-mini,simple
Life Sciences,Genetics,How do genetic markers help in research?,GPT-4o,simple
Technology & Engineering,Technology Applications,User Interface (UI),GPT-4o-mini,complex
Hard Sciences,Chemistry,Intermolecular Forces,GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do you back up your data?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,How does a catapult launch objects?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,Motif,GPT-4o-mini,complex
Life Sciences,Neuroscience,What is the connection between the brain and the gut?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Internet of Things,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,System-on-a-Chip (SoC),GPT-4o-mini,complex
Life Sciences,Psycology,What is the difference between a psychologist and a psychiatrist?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How do I forge a parent's signature?,GPT-4o,simple
Life Sciences,Medicine,How do doctors learn?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do people around the world eat different foods?,GPT-4o,simple
Hard Sciences,Theoretical Physics,How does time travel work?,GPT-4o,simple
Arts & Literature,Visual Arts,Why do some artists collaborate with others?,GPT-4o-mini,simple
Hard Sciences,Astronomy,What happens when a star runs out of fuel?,GPT-4o-mini,simple
Humanities & Social Systems,History & Events,How did people live in the Stone Age?,GPT-4o,simple
Technology & Engineering,Technology Applications,What is a virus in a computer?,GPT-4o,simple
Life Sciences,Psycology,What is a feeling?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,Why do some cultures value education more than others?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How does graffiti differ from other types of art?,GPT-4o,simple
Hard Sciences,Chemistry,What is pH?,GPT-4o,simple
Life Sciences,Genetics,How does CRISPR change DNA?,GPT-4o,simple
Hard Sciences,Physics,General Relativity,GPT-4o-mini,complex
Arts & Literature,Visual Arts,How does digital art differ from traditional art?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How does music change a performance's mood?,GPT-4o-mini,simple
Hard Sciences,Theoretical Physics,What is an equation and why is it important in physics?,GPT-4o-mini,simple
Specialized & Meta,Safety/Refusal,What is the best way to fake emotions?,GPT-4o,simple
Humanities & Social Systems,Economics & Finance,How do businesses make money?,GPT-4o-mini,simple
Life Sciences,Health,Why is it important to be kind to others?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,Computational Fluid Dynamics (CFD),GPT-4o-mini,complex
Technology & Engineering,Computing/AI,How do robots know what to do?,GPT-4o,simple
Life Sciences,Neuroscience,Behavioral Neurology,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,Why do some materials expand when heated?,GPT-4o-mini,simple
Life Sciences,Health,How can we recognize when we are feeling unwell?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,How does a computer work?,GPT-4o-mini,simple
Hard Sciences,Astronomy,How do we capture images of distant galaxies?,GPT-4o,simple
Hard Sciences,Physics,Centrifugal Force,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,How did the Industrial Revolution change the world?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,Solipsism,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,What is a blueprint?,GPT-4o-mini,simple
Arts & Literature,Performing Arts,How do you perform a magic trick?,GPT-4o,simple
Arts & Literature,Literature & Writing,How do you describe a setting in a story?,GPT-4o,simple
Humanities & Social Systems,History & Events,What was the purpose of the Silk Road?,GPT-4o-mini,simple
Technology & Engineering,Computing/AI,Concurrency Control,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do we create art?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do you create a presentation?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How can art tell a story?,GPT-4o-mini,simple
Humanities & Social Systems,Economics & Finance,How does advertising influence what we buy?,GPT-4o-mini,simple
Life Sciences,Psychology,Attachment Theory,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Posthumanism,GPT-4o-mini,complex
Specialized & Meta,Everyday Life,How do animals sleep?,GPT-4o,simple
Specialized & Meta,Abstract Concepts,How does kindness make us feel?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Why do some cultures emphasize community over individuality?,GPT-4o-mini,simple
Life Sciences,Biology,Why do some animals migrate?,GPT-4o-mini,simple
Humanities & Social Systems,Philosophy & Ethics,Collective Responsibility,GPT-4o-mini,complex
Hard Sciences,Astronomy,Why can't we breathe in space?,GPT-4o-mini,simple
Life Sciences,Psychology,Ecological Systems Theory,GPT-4o-mini,complex
Life Sciences,Medicine,Histopathology,GPT-4o-mini,complex
Technology & Engineering,Technology Applications,How do we write a computer program?,GPT-4o-mini,simple
Life Sciences,Biology,How do animals keep warm in the winter?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,The Ethics of Artificial Intelligence,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,Why did the Renaissance begin in Italy?,GPT-4o,simple
Humanities & Social Systems,Culture & Society,How do holidays differ around the world?,GPT-4o,simple
Technology & Engineering,Technology Applications,How do you make a GIF?,GPT-4o,simple
Technology & Engineering,Computing/AI,What is a video game?,GPT-4o-mini,simple
Humanities & Social Systems,Culture & Society,Civic Responsibility,GPT-4o-mini,complex
Arts & Literature,Performing Arts,Vocal Projection,GPT-4o-mini,complex
Hard Sciences,Physics,Why do we have day and night?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do fitness trackers measure heartbeat?,GPT-4o,simple
Arts & Literature,Performing Arts,Character Motivation,GPT-4o-mini,complex
Humanities & Social Systems,History & Events,The Treaty of Ghent,GPT-4o-mini,complex
Life Sciences,Medicine,What are vitamins and why do we need them?,GPT-4o,simple
Specialized & Meta,Safety/Refusal,How do I escape from a bad situation safely?,GPT-4o-mini,simple
Technology & Engineering,Technology Applications,How do touchscreens work?,GPT-4o,simple
Technology & Engineering,Engineering & Mechanics,How are phones designed?,GPT-4o,simple
Humanities & Social Systems,Philosophy & Ethics,Why do people have different perspectives?,GPT-4o,simple
Humanities & Social Systems,History & Events,What was the Trail of Tears?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,Dadaism,GPT-4o-mini,complex
Hard Sciences,Math/Logic,What is geometry?,GPT-4o-mini,simple
Arts & Literature,Literature & Writing,How does a story become a movie?,GPT-4o,simple
Hard Sciences,Chemistry,What happens when you heat water?,GPT-4o-mini,simple
Hard Sciences,Physics,Thermodynamic Equilibrium,GPT-4o-mini,complex
Life Sciences,Genetics,How does gene therapy work?,GPT-4o,simple
Life Sciences,Medicine,Artificial Intelligence in Healthcare,GPT-4o-mini,complex
Life Sciences,Psycology,Why do we get jealous?,GPT-4o-mini,simple
Arts & Literature,Visual Arts,How do colors make us feel different emotions?,GPT-4o,simple
Life Sciences,Genetics,What is selective breeding?,GPT-4o-mini,simple
Life Sciences,Neuroscience,Neuroscience of Decision Making,GPT-4o-mini,complex
Life Sciences,Psycology,Why do people get bored?,GPT-4o,simple
Humanities & Social Systems,History & Events,The Reformation,GPT-4o-mini,complex
Specialized & Meta,Abstract Concepts,Why do we seek knowledge?,GPT-4o-mini,simple
Life Sciences,Psychology,Latent Learning,GPT-4o-mini,complex
Technology & Engineering,Engineering & Mechanics,How do satellites orbit the Earth?,GPT-4o-mini,simple
Technology & Engineering,Engineering & Mechanics,What is a pulley and how does it help lift things?,GPT-4o,simple
